zid,pid,tid,vote,weight_x_32767,created
28,6,10,-1,0,1728978601476
28,6,16,0,0,1728978605472
28,7,14,-1,0,1728978609994
28,8,4,0,0,1728978612982
28,8,12,0,0,1728978614377
29,0,6,0,0,1728978950787
29,0,7,0,0,1728978951281
30,1,3,1,0,1728979658422
30,2,0,0,0,1728979659300
30,2,4,0,0,1728979659753
31,6,2,1,0,1728980599140
31,7,4,1,0,1728980600671
31,7,6,0,0,1728980600753
31,8,2,-1,0,1728980601554
31,9,0,1,0,1728980603074
31,9,4,-1,0,1728980603501
34,1,2,-1,0,1728996259391
34,4,8,0,0,1728996264073
34,4,10,-1,0,1728996264327
34,5,6,0,0,1728996265490
34,7,4,1,0,1728996268673
34,7,8,0,0,1728996269273
34,8,0,1,0,1728996270875
34,8,8,0,0,1728996272573
34,8,10,0,0,1728996272779
34,9,2,1,0,1728996274276
34,9,8,0,0,1728996275287
34,10,10,-1,0,1729006346455
31,10,1,-1,0,1729006712480
28,10,16,-1,0,1729006863877
34,12,2,0,0,1729007235491
26,11,4,-1,0,1729040722076
34,14,11,1,0,1729058579193
34,16,7,0,0,1729070945495
34,17,10,-1,0,1729071306178
31,12,1,-1,0,1729071505576
31,12,7,1,0,1729071519075
28,11,5,-1,0,1729071734660
34,19,11,1,0,1729071982537
30,13,3,-1,0,1729071988391
30,14,2,-1,0,1729072097502
29,13,10,0,0,1729072311479
28,14,15,-1,0,1729072642622
29,15,0,1,0,1729073058925
28,15,6,-1,0,1729073528693
34,22,11,1,0,1729073665564
34,23,0,-1,0,1729075233784
29,16,2,-1,0,1729075437096
28,17,0,-1,0,1729075561390
28,17,3,-1,0,1729075575083
34,24,3,1,0,1729077264885
34,24,1,-1,0,1729077274780
34,25,7,-1,0,1729077467771
34,26,4,-1,0,1729079918773
28,19,12,-1,0,1729081643408
26,16,2,1,0,1729081892391
29,17,7,-1,0,1729082063394
34,28,8,0,0,1729084523408
28,20,4,-1,0,1729088541844
30,18,1,-1,0,1729096265991
34,29,6,-1,0,1729096575675
31,17,6,-1,0,1729104284374
30,19,5,-1,0,1729123098707
29,21,5,-1,0,1729133729782
30,20,2,-1,0,1729136460276
34,33,11,0,0,1729155022484
28,21,6,-1,0,1729157981581
30,20,0,-1,0,1729171573575
34,35,0,-1,0,1729209085247
28,22,14,0,0,1729209248672
30,21,3,-1,0,1729210938091
30,21,0,1,0,1729210954938
28,23,16,-1,0,1729243582997
28,23,7,-1,0,1729243699172
28,23,9,-1,0,1729243715974
30,22,5,-1,0,1729243901474
34,37,11,1,0,1729257339910
29,24,2,1,0,1729257986459
34,38,3,0,0,1729258111509
28,25,2,1,0,1729258209184
29,25,2,-1,0,1729258234749
28,26,8,1,0,1729258338470
28,26,10,0,0,1729258348674
34,41,2,0,0,1729258500595
31,24,2,1,0,1729258630855
28,29,14,1,0,1729258908681
30,34,1,-1,0,1729259095474
26,24,7,-1,0,1729259686694
26,24,2,1,0,1729259697260
30,37,5,-1,0,1729259724190
29,26,1,-1,0,1729259810391
29,26,6,-1,0,1729259819974
31,25,0,1,0,1729259968574
30,39,0,-1,0,1729259985874
31,26,6,-1,0,1729259997740
30,40,6,-1,0,1729259999873
31,26,2,0,0,1729260010277
28,31,0,-1,0,1729260042480
29,27,2,1,0,1729260049824
29,27,3,-1,0,1729260058391
34,45,2,0,0,1729260168997
29,28,10,1,0,1729260312674
34,46,0,1,0,1729260447294
29,30,9,-1,0,1729260655497
29,30,10,1,0,1729260685672
29,31,4,-1,0,1729261140500
28,34,14,-1,0,1729261305275
31,28,6,-1,0,1729262092198
30,50,3,0,0,1729262303190
30,50,6,-1,0,1729262313173
30,52,2,-1,0,1729262491987
30,52,0,-1,0,1729262502076
29,34,0,1,0,1729262596413
30,53,3,-1,0,1729262603929
28,35,4,-1,0,1729262621473
26,28,6,-1,0,1729262627967
28,38,6,0,0,1729262841195
31,31,7,-1,0,1729262851082
28,38,1,-1,0,1729262853588
28,38,0,0,0,1729262855974
30,57,0,1,0,1729262858395
30,57,2,0,0,1729262867082
28,36,17,-1,0,1729262886579
28,40,4,-1,0,1729262980455
26,30,1,1,0,1729262987741
